LOAD DATASET
read csv...ready [31.107 sec] !
Xy convertion...
ready [0.519 sec] !
SPLIT DATASET
ready [2.131 sec]!
train: 64340, 64340, Counter({3: 19180, 1: 17014, 2: 15099, 0: 13047})
eval: 16086, 16086, Counter({3: 4795, 1: 4254, 2: 3775, 0: 3262})
START TRAINING
77:	learn: 0.8767952	test: 0.8386796	best: 0.8386796 (77)	total: 1.46s	remaining: 17.3s
78:	learn: 0.8770594	test: 0.8384931	best: 0.8386796 (77)	total: 1.48s	remaining: 17.3s
79:	learn: 0.8779453	test: 0.8389283	best: 0.8389283 (79)	total: 1.5s	remaining: 17.2s
80:	learn: 0.8784426	test: 0.8408554	best: 0.8408554 (80)	total: 1.52s	remaining: 17.2s
81:	learn: 0.8787690	test: 0.8406689	best: 0.8408554 (80)	total: 1.53s	remaining: 17.1s
82:	learn: 0.8797327	test: 0.8414149	best: 0.8414149 (82)	total: 1.55s	remaining: 17.1s
83:	learn: 0.8801057	test: 0.8414771	best: 0.8414771 (83)	total: 1.57s	remaining: 17.1s
84:	learn: 0.8808984	test: 0.8415392	best: 0.8415392 (84)	total: 1.58s	remaining: 17s
85:	learn: 0.8812403	test: 0.8411662	best: 0.8415392 (84)	total: 1.6s	remaining: 17s
86:	learn: 0.8817221	test: 0.8416014	best: 0.8416014 (86)	total: 1.62s	remaining: 17s
87:	learn: 0.8823904	test: 0.8420366	best: 0.8420366 (87)	total: 1.64s	remaining: 17s
88:	learn: 0.8825925	test: 0.8429069	best: 0.8429069 (88)	total: 1.65s	remaining: 16.9s
89:	learn: 0.8833385	test: 0.8425960	best: 0.8429069 (88)	total: 1.67s	remaining: 16.9s
90:	learn: 0.8836960	test: 0.8424717	best: 0.8429069 (88)	total: 1.69s	remaining: 16.9s
91:	learn: 0.8838514	test: 0.8424717	best: 0.8429069 (88)	total: 1.7s	remaining: 16.8s
92:	learn: 0.8843954	test: 0.8427204	best: 0.8429069 (88)	total: 1.72s	remaining: 16.8s
93:	learn: 0.8852036	test: 0.8427204	best: 0.8429069 (88)	total: 1.74s	remaining: 16.7s
94:	learn: 0.8858564	test: 0.8425960	best: 0.8429069 (88)	total: 1.75s	remaining: 16.7s
95:	learn: 0.8861362	test: 0.8427825	best: 0.8429069 (88)	total: 1.77s	remaining: 16.7s
96:	learn: 0.8867578	test: 0.8435285	best: 0.8435285 (96)	total: 1.79s	remaining: 16.7s
97:	learn: 0.8872707	test: 0.8436529	best: 0.8436529 (97)	total: 1.81s	remaining: 16.6s
98:	learn: 0.8874573	test: 0.8429690	best: 0.8436529 (97)	total: 1.82s	remaining: 16.6s
99:	learn: 0.8875971	test: 0.8428447	best: 0.8436529 (97)	total: 1.84s	remaining: 16.6s
100:	learn: 0.8880168	test: 0.8436529	best: 0.8436529 (97)	total: 1.86s	remaining: 16.5s
101:	learn: 0.8881878	test: 0.8435907	best: 0.8436529 (97)	total: 1.88s	remaining: 16.5s
102:	learn: 0.8894933	test: 0.8443989	best: 0.8443989 (102)	total: 1.89s	remaining: 16.5s
103:	learn: 0.8902238	test: 0.8443367	best: 0.8443989 (102)	total: 1.91s	remaining: 16.5s
